ap_id,borough,latitude,longitude,location,status
8641,QU,40.755727,-73.944583,"Jacob A. Riis Neighborhood Settlement, 10-25, 41st Avenue, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Fine
8642,QU,40.755333,-73.944131,"40-10, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Fine
8643,QU,40.755751,-73.945166,"40-12, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Not_Fine
8644,QU,40.755751,-73.945166,"40-12, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Not_Fine
8645,QU,40.755751,-73.945166,"40-12, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Not_Fine
8646,QU,40.755751,-73.945166,"40-12, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Not_Fine
8647,QU,40.755751,-73.945166,"40-12, 10th Street, Queensbridge North Houses, Queens County, City of New York, New York, 11101, United States",Fine
8648,QU,40.75529,-73.945633,"41-01, 10th Street, Queensbridge South Houses, Queens County, City of New York, New York, 11101, United States",Fine
8649,QU,40.75529,-73.945633,"41-01, 10th Street, Queensbridge South Houses, Queens County, City of New York, New York, 11101, United States",Not_Fine
8650,QU,40.755636,-73.947657,"41-16, Vernon Boulevard, Queensbridge, Queens County, City of New York, New York, 11101, United States",Not_Fine
8651,QU,40.755636,-73.947657,"41-16, Vernon Boulevard, Queensbridge, Queens County, City of New York, New York, 11101, United States",Fine
8652,QU,40.755636,-73.947657,"41-16, Vernon Boulevard, Queensbridge, Queens County, City of New York, New York, 11101, United States",Fine
1,BK,40.65831,-73.94406,"Winthrop Street, Brooklyn, Kings County, City of New York, New York, 11203, United States",Not_Fine
2,BK,40.658,-73.94723,"390, Hawthorne Street, Brooklyn, Kings County, City of New York, New York, 11203, United States",Not_Fine
3,BK,40.658,-73.94723,"390, Hawthorne Street, Brooklyn, Kings County, City of New York, New York, 11203, United States",Not_Fine
4,BK,40.65743,-73.94716,"403, Winthrop Street, Brooklyn, Kings County, City of New York, New York, 11203, United States",Fine
5,BK,40.65743,-73.94716,"403, Winthrop Street, Brooklyn, Kings County, City of New York, New York, 11203, United States",Not_Fine
6,BX,40.846314,-73.824472,"3154, Middletown Road, Spencer Estates, Bronx County, The Bronx, City of New York, New York, 10465, United States",Not_Fine
